,Title,Year,Summary,Short Summary,Genres,IMDB ID,Runtime,YouTube Trailer,Rating,Movie Poster,Director,Writers,Cast
599,Mike and Dave Need Wedding Dates,2016,"Hard-partying brothers Mike (Adam Devine) and Dave (Zac Efron) place an online ad to find the perfect dates (Anna Kendrick, Aubrey Plaza) for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves outsmarted and out-partied by the uncontrollable duo.","Two hard-partying brothers place an online ad to find the perfect dates for their sister's Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo.",Adventure|Comedy|Romance,tt2823054,98,33MtR-g4Jcg,6,https://hydramovies.com/wp-content/uploads/2018/04/Mike-and-Dave-Need-Wedding-Dates-Movie-Poster.jpg,Jake Szymanski,Andrew Jay Cohen,Adam Devine|Anna Kendrick|Zac Efron
601,Hunt for the Wilderpeople,2016,"Bella and Hector, two reclusive country folk, become foster parents to Ricky, a problem child from the city. After some adjustment, things go reasonably well. However, the death of Bella means Hector now has to look after Ricky, and they didn't get along too well. Moreover, her death causes Child Services to decide to send Ricky back to the orphanage. Ricky refuses to go back and runs away, ultimately sparking a national manhunt for him and Hector.",A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Action|Adventure|Comedy|Drama,tt4698684,101,dPaU4Gymt3E,7.9,https://hydramovies.com/wp-content/uploads/2018/04/Hunt-for-the-Wilderpeople-Movie-Poster.jpg,Taika Waititi,Taika Waititi,Julian Dennison|Sam Neill
602,The Purge: Election Year,2016,"It's been seventeen years since Leo Barnes (Frank Grillo) stopped himself from a regrettable act of revenge on Purge Night. Now serving as head of security for Senator Charlie Roan (Elizabeth Mitchell), his mission is to protect her in a run for president and survive the annual ritual that targets the poor and innocent. But when a betrayal forces them onto the streets of D.C. on the one night when no help is available, they must stay alive until dawn...or both be sacrificed for their sins against the state.","Former Police Sergeant Barnes becomes head of security for Senator Charlie Roan, a Presidential candidate targeted for death on Purge night due to her vow to eliminate the Purge.",Action|Horror|Sci-Fi|Thriller,tt4094724,108,9rqIJcY9hMc,6,https://hydramovies.com/wp-content/uploads/2018/04/The-Purge-Election-Year-Movie-Poster.jpg,James DeMonaco,James DeMonaco,Elizabeth Mitchell|Frank Grillo|Mykelti Williamson
3266,A Kind of Murder,2016,"A psychological noir thriller set in 1960's New York based on Patricia Highsmith's novel, 'The Blunderer'. Walter Stackhouse is rich, successful and unhappily married to the beautiful but damaged Clara. His desire to be free of her feeds his obsession with Kimmel, a man suspected of brutally murdering his own wife. But when Clara is found dead in suspicious circumstances, Walter's string of lies and his own guilty thoughts seem enough to condemn him. As his life becomes dangerously entwined with Kimmel's, a ruthless cop is increasingly convinced he has found a copycat killer in Walter and aims to nail both murderers.","In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",Crime|Drama|Thriller,tt2726552,95,puh5-nzt3UY,5.2,https://hydramovies.com/wp-content/uploads/2018/05/A-Kind-of-Murder-Movie-Poster.jpg,Andy Goddard,Susan Boyd,Haley Bennett|Jessica Biel|Patrick Wilson
728,The Brothers Grimsby,2016,"MI6's top assassin (Mark Strong) has a brother. Unfortunately for him, he's a football hooligan (Sacha Baron Cohen) from the town of Grimsby. Nobby has everything a man from the poor English fishing town of Grimsby could want - 9 children and the most attractive girlfriend in northern England (Rebel Wilson). There's only one thing missing in his life: his little brother, Sebastian. After they were adopted by different families as children, Nobby spent 28 years searching for him. Upon hearing of his location, Nobby sets off to reunite with his brother, unaware that not only is his brother an MI6 agent, but he's just uncovered a plot that puts the world in danger. On the run and wrongfully accused, Sebastian realizes that if he is going to save the world, he will need the help of its biggest idiot.",A new assignment forces a top spy to team up with his football hooligan brother.,Action|Adventure|Comedy,tt3381008,83,Mi5SiMLFj2c,6.2,https://hydramovies.com/wp-content/uploads/2018/04/The-Brothers-Grimsby-Movie-Poster.jpg,Louis Leterrier,Sacha Baron Cohen,Mark Strong|Sacha Baron Cohen
3262,Guernica,2016,"The fates of Henry - a cynical American correspondent who has lost his soul - and Teresa, one of the Republic's censors and in charge of overseeing the news that journalists can send abroad, cross in Gernika.","The fates of Henry - a cynical American correspondent who has lost his soul - and Teresa, one of the Republic's censors and in charge of overseeing the news that journalists can send abroad, cross in Gernika.",Action|Drama|History|Romance|War,tt2556114,110,QLtkjR3RMR4,5.8,https://hydramovies.com/wp-content/uploads/2018/05/Guernica-Movie-Poster.jpg,Koldo Serra,Barney Cohen,Jack Davenport|James D'Arcy|María Valverde
3195,Skiptrace,2016,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,A detective from Hong Kong teams up with an American gambler to battle against a notorious Chinese criminal.,Action|Adventure|Comedy|Crime|Thriller,tt2238032,107,kkkOCtOrAcA,5.7,https://hydramovies.com/wp-content/uploads/2018/05/Skiptrace-Movie-Poster.jpg,Renny Harlin,Jay Longino,Jackie Chan|Johnny Knoxville
3163,Incarnate,2016,"In New York, the boy Cameron lives with his Dutch mother Lindsey that is divorced from his alcoholic father Dan. One night, Cameron overhears a noise in the kitchen and is attacked by a homeless woman: however he kills the woman, breaking her neck. The Vatican representative Camilla summons the scientist Dr. Ember to help the boy that is possessed and the exorcism is not effective. Dr. Ember has the ability to enter in the mind of people possessed by demons and bring them back to reality in a dangerous procedure with the support of his team composed by Oliver and Riley. When Dr. Ember visits Cameron, he realizes that the boy is possessed by the insidious demon Maggie, who killed his wife and son in a car accident. Will Dr. Ember succeed in destroying Maggie and saving Cameron?","A scientist with the ability to enter the subconscious minds of the possessed must save a young boy from the grips of a demon with powers never seen before, while facing the horrors of his past.",Fantasy|Horror|Mystery|Sci-Fi|Thriller,tt3216348,91,SF8WPk6_CbQ,5.2,https://hydramovies.com/wp-content/uploads/2018/05/Incarnate-Movie-Poster.jpg,Brad Peyton,Ronnie Christensen,Aaron Eckhart|Carice van Houten|Catalina Sandino Moreno
3011,Eliminators,2016,"A former US Federal Agent must abandon the witness protection program and come out of hiding when his London home is invaded in error due to a wrong address. When the event ends with multiple homicides, the news triggers those hunting him to send Europe's most dangerous assassin to kill him. Now on the run with his daughter's life in jeopardy, a determined father must get her to safety before the people he's been hiding from track him down.",A former US Federal Agent must abandon the witness protection program and come out of hiding when his London home is invaded in error due to a wrong address. When the event ends with ...,Action,tt4587366,94,jVMz0xdDt7s,5.5,https://hydramovies.com/wp-content/uploads/2018/05/Eliminators-Movie-Poster.jpg,James Nunn,Nathan Brookes,Daniel Caltagirone|Scott Adkins|Stu Bennett
440,M.S. Dhoni: The Untold Story,2016,Mahendra Singh Dhoni is a goalkeeper in school football team.Bannerjee a school cricket coach asks him to join his cricket team and practice daily with him for two hours time passes and he becomes a big state level cricketer but for a long time his luck doesn't favor him to become a member of Indian Cricket team.Dhoni takes up a job in Indian Railways as a ticket checker and plays cricket for the railways after long wait of 4 years he gets selected in Indian Cricket team and turns to be one of the best cricketing captains in history of Indian Cricket.,The untold story of Mahendra Singh Dhoni's journey from ticket collector to trophy collector - the world-cup-winning captain of the Indian Cricket Team.,Biography|Drama|Sport,tt4169250,184,6L6XqWoS8tw,7.8,https://hydramovies.com/wp-content/uploads/2018/04/M.S.-Dhoni-The-Untold-Story-Movie-Poster.jpg,Neeraj Pandey,Neeraj Pandey,Kiara Advani|Sushant Singh Rajput
3166,Mechanic: Resurrection,2016,"Arthur Bishop, the master assassin who faked his death in hopes of putting that part of his ;life behind him, now lives a quiet life in Rio. But someone who knows who he is shows up and tells him, that if he wants to continue living this life, he will do three jobs for someone. Bishop tries to tell them he has the wrong man but they know who he is and if he won't do the job, they will take him but he gets away. He then goes to a resort in Thailand run by a friend, Mae, where he tries to find out who is looking for him. Later a woman named Gina shows up looking for medical assistance and Mae can't help but notice bruises all over her body. Mae deduces she's a battered woman and when Mae hears her being beaten, Mae asks Bishop to help her. He goes and kills the guy she's with. He kills the man and then sets fire to the boat he's on. But he sees that Gina has a photo of him. He deduces that they one who wants him, sent her. He confronts her and she admits that she works at a children's ...","Bishop thought he had put his murderous past behind him, until his most formidable foe kidnaps the love of his life. Now he is forced to complete three impossible assassinations, and do what he does best: make them look like accidents.",Action|Adventure|Crime|Thriller,tt3522806,98,QF903RaKLvs,5.7,https://hydramovies.com/wp-content/uploads/2018/05/Mechanic-Resurrection-Movie-Poster.jpg,Dennis Gansel,Lewis John Carlino,Jason Statham|Jessica Alba
3167,London Has Fallen,2016,"After the British Prime Minister has passed away under mysterious circumstances, all leaders of the Western world must attend his funeral. But what starts out as the most protected event on earth, turns into a deadly plot to kill the world's most powerful leaders and unleash a terrifying vision of the future. The President of the United States, his formidable secret service head and a British MI-6 agent who trusts no one are the only people that have any hope of stopping it.","In London for the Prime Minister's funeral, Mike Banning is caught up in a plot to assassinate all the attending world leaders.",Action|Crime|Drama|Thriller,tt3300542,99,MMbyPhQo75A,5.9,https://hydramovies.com/wp-content/uploads/2018/05/London-Has-Fallen-Movie-Poster.jpg,Babak Najafi,Creighton Rothenberger,Aaron Eckhart|Gerard Butler
3009,The Assignment,2016,"Following an ace assassin who is double crossed by gangsters and falls into the hands of rogue surgeon known as The Doctor who turns him into a woman. The hitman now a hitwoman sets out for revenge, aided by a nurse named Johnnie who also has secrets.","After waking up and discovering that he has undergone gender reassignment surgery, an assassin seeks to find the doctor responsible.",Action|Crime|Thriller,tt5034474,95,bqmbe7EjcWc,4.6,https://hydramovies.com/wp-content/uploads/2018/05/The-Assignment-Movie-Poster.jpg,Walter Hill,Walter Hill,Michelle Rodriguez|Tony Shalhoub
3006,Birth of the Dragon,2016,"Set against the backdrop of 1960s San Francisco, BIRTH OF THE DRAGON is a modern take on the classic movies that Bruce Lee was known for. It takes its inspiration from the epic and still controversial showdown between an up-and-coming Bruce Lee and kung fu master Wong Jack Man - a battle that gave birth to a legend.","Set against the backdrop of 1960s San Francisco, BIRTH OF THE DRAGON is a modern take on the classic movies that Bruce Lee was known for. It takes its inspiration from the epic and still controversial showdown between an up-and-coming Bruce Lee and kung fu master Wong Jack Man - a battle that gave birth to a legend.",Action|Biography|Drama,tt2720826,95,soLlxteBbNA,5.3,https://hydramovies.com/wp-content/uploads/2018/05/Birth-of-the-Dragon-Movie-Poster.jpg,George Nolfi,Stephen J. Rivele,Billy Magnussen|Yu Xia
3172,The Hollow Point,2016,"Across the Southwest United States, dozens of towns in the Mexican borders are being plagued by arms dealers who make a fortune by smuggling guns and ammunition to arm the cartels. Rumoured to be dead, Sheriff Wallace returns as the prodigal son to his hometown in Los Reyes County, Arizona, to replace Leland, the unapologetic, small-town man of the law after a routine check that went terribly wrong and forced him to retire. Soon enough, Wallace will get caught in the middle of a bloody inquiry trying to find out those who struck the profitable deal, while at the same time, a stash of blood-money and a kill list made by the relentless Atticus, the cartel's resilient hit man, threatens the town's peace. From now on, there will be no arresting anymore.",A new sheriff of a small town along the U.S. & Mexico border investigates a drug cartel deal that went horribly wrong.,Crime|Drama|Thriller,tt2918606,97,QexMA2iVXII,5.4,https://hydramovies.com/wp-content/uploads/2018/05/The-Hollow-Point-Movie-Poster.jpg,Gonzalo López-Gallego,Nils Lyew,John Leguizamo|Lynn Collins|Patrick Wilson
386,Wakefield,2016,"Howard has a loving wife (Garner), two daughters, a prestigious job as a Manhattan lawyer, and a comfortable home in the suburbs. But inwardly he's suffocating, and eventually he snaps and goes into hiding in his garage attic leaving his family to wonder what happened to him. He observes them from his window - an outsider spying in on his own life - as the days of exile stretch into months. Is it possible to go back to the way things were?",A man's nervous breakdown causes him to leave his wife and live in his attic for several months.,Drama,tt5195412,106,sheJkkm9oFY,6.4,https://hydramovies.com/wp-content/uploads/2018/04/Wakefield-Movie-Poster.jpg,Robin Swicord,E.L. Doctorow,Bryan Cranston|Jennifer Garner
3176,Don't Kill It,2016,"When an ancient demon is accidentally unleashed in a sparsely populated Mississippi town of Chickory Creek, their only hope of survival lies in the hands of a grizzled old demon hunter Jebediah Woodley and his reluctant partner FBI agent Evelyn Pierce.",An ancient demon terrorizes a tiny Mississippi town.,Action|Comedy|Fantasy|Horror,tt3113696,83,j8tlYfCxaXc,5.2,https://hydramovies.com/wp-content/uploads/2018/05/Dont-Kill-It-Movie-Poster.jpg,Mike Mendez,Dan Berk,Dolph Lundgren|Kristina Klebe|Tony Bentley
